Company,recom,pros,cons,sector
Deloitte,1,"Diverse and inclusive work culture ,  It's the people that makes this company Awesome!! Love working here.",None that I can think of,Consulting
Deloitte,NA,Great firm - if you're a go-getter the opportunities are out there,I had a great working environment but this is highly dependent on the team Not a good setting for introverts since the nature of the job requires you to interact constantly with clients and other stakeholders,Consulting
Deloitte,1,Colleagues are solid and passionate... Client work is challenging... Career Brand,Certainly not a 9-5 job;,Consulting
Deloitte,1,- Great benefits and always room to grow,- Dependent on your client experience,Consulting
Deloitte,NA,Friendly co-workers and good mentor-ship dependent on your 'coach'.,Very much a culture fit type of company.,Consulting
Deloitte,1,Good work environment and flexible hours,Pay scale is lower and possibility of slow growth,Consulting
Deloitte,1,- Fast-paced environment - Ambitious employees - Good networking - Self-directed career advancement,"- Majority travel - Poor work/life balance- you will live your job - Rigid/algorithmic business processes (Talent, promotions, etc) - Service lines are extremely siloed, difficult to be staffed outside of service line - Very high turnover - No financial incentive to stay long-term (average pay but it does not grow with time, small raises/bonus even when promoted)",Consulting
Deloitte,1,Good project and client facing experience,Travel can be difficult sometimes,Consulting
Deloitte,1,Great culture that encourages team building with events outside the office. Very tight group of interns.,"Except for comp, none that I can think of in my 4 months there",Consulting
Deloitte,1,Good compensation Opportunity for learning Opportunity for growth Global mobility,"While global mobility is a great plus, the actual process can be challenging",Consulting
Deloitte,1,very nice and good,"not very flexible, but overall is pretty good",Consulting
Deloitte,1,- Variety of projects - Flexibility of hours - If you are Good at networking then it will take you places,- Compensation - Less Flexibility to relocate or change your focus area - promotions are slow and networking is a huge factor,Consulting
Deloitte,1,"tons of opportunity here, you could work in virtually any industry and application",workload can be insane ... the chargeout rates are outrageous and so everyone has to work insanely hard so that the value to client matches what we're charging,Consulting
Deloitte,1,"Big firm, structure, support, localization.",no cons to be pointed out.,Consulting
Deloitte,1,Excellent experience and you can learn a lot from other talented individuals on projects,Very demanding work environment (long hours and high quality of work).  It’s a con only to which over time it becomes demanding,Consulting
Deloitte,1,"great leadership, lots of opportunity lots of innovation","Pyramid model, too corporate",Consulting
Deloitte,1,Fantastic team and great company-sponsored events,Long hours depending on project,Consulting
Deloitte,1,Very flexible in terms of personal needs and hours. Great work spaces and building in general. Good room and opportunities for growth.,I can't think of any.,Consulting
Deloitte,1,"Abundance of resources: online training, budget for additional certification, room to grow, large networking opportunities","Ability to easily transfer between service lines is not available at all. Very difficult to try something in your area of interest, without all levels of leadership being convinced.",Consulting
Deloitte,1,- flexible hours - laid back office - lots of over time offered for those who want to make extra cash,there are no cons to working here,Consulting
Deloitte,NA,"Great office, mostly decent people, flexible working style","Long work hours, very minimal work life balance.",Consulting
Deloitte,1,"Amazing people, clients and opportunities to work on amazing projects",I know I can earn 50% more elsewhere,Consulting
Deloitte,NA,Brand Recognition Fancy Building Helpful Colleagues Good Senior Management,Very Long Working Hours Promotion not based on merit but how well you get along with other people,Consulting
Deloitte,1,Flexible working environment where you can work from home,Long unrealistic hours  at busy seasons,Consulting
Deloitte,0,"All the people you meet, around your age, going through the same issues/opportunities as you","Horrible work life balance, senior managers and partners do not care about your wellbeing or you as a person",Consulting
Deloitte,1,"Beautiful workspace, good work environment","low salaries, long working hours",Consulting
Deloitte,1,"I couldn’t ask for a better co-op experience. Everyone is very friendly and willing to help out. Chill, positive environment",It used to take me 3.5hrs a day commuting from North York,Consulting
Deloitte,1,Non-stop learning opportunities at every level,"Long hours, unpredictable schedule, sometimes a lot of travel",Consulting
Deloitte,1,"Great work environment, very flexible also Supportive team  good benefits",low salary not learning tech enough,Consulting
Deloitte,NA,You can shift to various projects depending upon your expertise. Great environment to work.,Payscale is very low.  Usually have to work extra hours to reach the deadlines.,Consulting
Deloitte,0,The brand name Opportunity to build your network,"Terrible onboarding Zero support/training Ego-centric/narcissistic leadership No clear direction Psychologically unsafe  ""Use &amp; Abuse"" mentality in how employees are treated",Consulting
Deloitte,NA,"Great environment and co-workers, great support staff, great benefits.","Project hunting makes you feel like your job is another job hunt.  Can get lost in the shuffle, example every new hire was supposed to get a mentor, after 8 months I still did not have one.",Consulting
Deloitte,1,Healthy work environment  Flexible working hours  Work from home options  Helpful staff and coworkers,They need more staff to get the work done with regards to Deloitte Tax,Consulting
Deloitte,0,-Could get lucky and get a data science project -Can learn a lot when you have free time (free courses) -lots of interesting people and easy to make connections,-Probably won't get data science work -Always have to worry about utilization (hard to get raises and bonuses because there is no meaningful work) -Highly Toronto focused -Very low pay for a data scientist,Consulting
Deloitte,NA,Work in teams with many individuals that are near age group,Lots of snakes within teams who like to step on others to get ahead. Senior managers and partners are quite removed from core teams to know about this,Consulting
Deloitte,1,Growth story with fantastic opportunity,Below par base pay and mediocre increments,Consulting
Deloitte,1,Lots of interesting projects and possibility to travail the world and work in many locations,Extremely hard to have a work-life balance,Consulting
Deloitte,1,One of the best firm to get experience,A lot of client and the number of hours per week might be high,Consulting
Deloitte,1," Great team that help each other on client site   Great energy, lot of potential If you are willing to learn and work hard   generous and fair Compensation, over time, on-call paid,  as long as reasonable and required by client   come with Good equipments, not too but reasonable"," bad laptops, you gotta fight for a better one.   Orientation was missing for me, throw to a separate team and don’t even know my direct manager is already gone",Consulting
Deloitte,1,- opportunities to work with a large Variety of clients and projects,"- difficult to build deep expertise in one vertical, projects are often managed poorly as a result - work life balance",Consulting
Deloitte,1,The people are amazing; significant new focus on mental health,Highly driven organization which can be stressful,Consulting
Deloitte,1,Great Culture; flexible working environment,Nothing to share at this point,Consulting
Deloitte,1,Great place to gain diverse experience,Low work life balance,Consulting
Deloitte,1,Working at Deloitte was a great experience and I learned a lot from my time there. What I enjoyed most there were:  The agile environment (can work on any floor and not forced into cubicles) The social events held for co-ops The building wide events,The only issue I had during my time here was transit but that would be because I was based out of Toronto.,Consulting
Deloitte,1,lots of flexible work options,can't think of any right now,Consulting
Deloitte,NA,work life balance supportive environment invested in your professional development,there is nothing applicable here.,Consulting
Deloitte,1,- Location - Opportunity for progression - Variety of projects,- long hours - Compensation - Temporary projects,Consulting
Deloitte,0,"Big Company, Varied Work, International Travel, salary okay, some managers okay","Didn't have enough mentoring support (for my role, which isn't standard at Deloitte, pretty expected), ""funny"" ""bonus"", half-wall open concept cubicles",Consulting
Deloitte,1,"big company, social advantage and interesting mandates",Too much hours and workload,Consulting
Deloitte,NA,Good it is to work,Nothing as of now in Deloitte,Consulting
Deloitte,1,"Benefits, flexible working arrangements, culture","Low salary, management hierarchy , training",Consulting
Deloitte,1,Plenty of opportunities to stretch yourself / take on new opportunities,Work-life balance could be improved,Consulting
Deloitte,1,Challenging work and great clients,Good performers are often overloaded,Consulting
Deloitte,1,"Learning opportunities, leadership and mentoring,  overseas opportunities",None That I could point out,Consulting
Deloitte,NA,everyone was always super friendly and it was great networking and meeting people of all levels of employement,Pay could be better but its worth the experience and people you meet.,Consulting
Deloitte,1,"Nice people to work with.  When your day is done, your day is done and you have nothing to worry about to keep you up at night.","Work is on a project by project basis, and you never know when the next project will start.",Consulting
Deloitte,1,Challenging  Pay well  You can pick what projects you want to do  Fast pace   Lots of training for new graduates,There really is no con,Consulting
Deloitte,1,"The ediscovery document review business is, by and large, heartless.  Document Reviewers are regarded and treated like immigrant day labourers .  In other words, document reviewers are treated like disposable trash.  That said, Deloitte is by far the best of the 8 companies that do this work.  Management is the most professional of the competition.","They give you no feedback whatsoever about how you are doing and you have no idea what they think about your performance or whether they will hire you again.  Unless you are promoted to QC and eventually project management, document review work is a deadend job.",Consulting
Deloitte,1,"Great learning experience, great network, dynamic and collaborative","Low salaries, incongruent , work life balance",Consulting
Deloitte,1,Very supportive. Open to new ideas.,Bureaucracy makes things difficult to accomplish,Consulting
Deloitte,1,"Great place to learn, meet amazing people","No work life balance, lot of pressure",Consulting
Deloitte,1,"Exposure to different technologies, fast-paced",Selling and presentation skills is the main criteria for getting promoted. Majority of people know how to talk buzz words and are not technical,Consulting
Deloitte,1,Good fun place To work at,Not really No complaint so car,Consulting
Deloitte,1,smart teams; exposure to big clients,some teams are  very clicky,Consulting
Deloitte,NA,"work from home, nice office","fast pace, heavy work load",Consulting
Deloitte,0,Office with loads of amenities. Many clients local so not heavy travel compared to other offices. Extremely dedicated and passionate staff.,"Poor work life balance, although some departments are trying to combat but culture encourages it. Fast paced with little wiggle room for absences etc. Uninteresting work. Sometimes difficult clients.  If you've come from industry, don't be surprised if the work you're doing feels like a step backwards. Projects are often poorly sold, meaning the scope is wrong and it ends up a mess. Highly hierarchical. Mediocre benefits for the size and scale of company and work demands.",Consulting
Deloitte,1,"Amazing people, constant culture of learning, interesting projects, lots of socials","If you start in the firm early, your compensation is extremely low. They also will not match competitive offers.",Consulting
Deloitte,0,"Working with smart people Pretty office They pay CPA fees Workforce is quite young so can be a unprofessional and be more relaxed with team members. Big4 reputation Would be a great place to work if you're in consulting, IT, HR, Digita, etc... really any other department other than Audit as the culture does treat those people quite well. Audit gets the short end of the stick since they are a cost centre, not a profit centre.","In AUDIT: Many deadlines with lots of work and competing AND changing priorities is common. Excessively long work hours with work on nights and weekends (60 was regular, going to over 120 in busy season) Arbitrary promotions and zero transparency. Can be hard to find seating in new office Lunches and dinners reimbursed when working weekends and long hours, respectively. Little input in own work allocation Often get ""siloed"" into a specific type of work/task so can get very repetitive.",Consulting
Deloitte,1,- Very nice culture - interesting projects - Helpful and kind people,- as a consultant you don’t always get to choose your project so you might sometimes be in a role that’s not appealing to you,Consulting
Deloitte,0,The name opens doors for your resume.,"Far too much work and very high expectations for the money. They say you can work from home but treat you like a delinquent child when you do. There is zero opportunity for growth, even if you tell your supervisor what you would like to do. You will be tied to a cell phone 24/7 with expectations to take it with you on vacation. My quitting time was supposed to be 4:30 but I never left before 5:15 at the absolute earliest. If the Partner is working through lunch, they will expect the same from you. Officially, you are allowed to claim overtime, but the managers put so many restrictions on claiming that it takes an extra hour of paperwork and even then there is no guarantee it will be approved. The pay is awful compared to similar companies and I received less to start than I did for a starting wage in an EA role over 10 years ago.",Consulting
Deloitte,NA,Fantastic people with amazing learning experiences. I constantly think back to how much I learnt during my time at Deloitte.,Work life balance was challenging for me which is why I left.,Consulting
Deloitte,0,"Decent salary, benefits, and work hours (as long as you make sure to clarify your standards early on)  Pros depend on who you end up working with, which is the case everywhere to be fair. Rarely, you might end up with one of the few very cool people there, though the majority are nice on the surface but hard to work with in practice","Workaholic culture (marketed as 'agile') Lack of recognition Lack of mobility to other jobs, unless you know how to play the office politics game or end up with a really cool leader who cares about you  Unclear expectations and unrealistic workload   Overall people are stressed and they often take it on each other, especially on those who are lower in the rank, so make sure you've got thick-kin as you'll have to deal with lots of  passive-aggressive behaviour",Consulting
Deloitte,NA,Nice new building with a lot of amenities,a lot of people talking sh!t about others behind their back. Uninteresting work.,Consulting
Deloitte,1,"Great learning opportunities, leadership is excellent and cares about giving you good exposure to new opportunities",Subpar pay and sometimes hours can be pretty bad,Consulting
Deloitte,1,"Great, young individuals to work beside. Good learning experience on interesting clients","Long hours, tedious tasks, lack of work-life balance on many audit teams",Consulting
Deloitte,1,Worldwide companies offering growth opportunities for employees and freelance.,"Very large company that can make you feel ""like a number""",Consulting
Deloitte,NA,"Great place to start one's career, develop various skills and build networks. Good to have the exposure to find the industry and line of work that's interesting to you.",Drives people hard to deliver results and have high utilization for billable hours.,Consulting
Deloitte,1,The team is laid back and very friendly,Office politics can get ugly,Consulting
Deloitte,1,Big organization and lots of learning and opportunities.,not really any cons I know,Consulting
Deloitte,1,"Great work-life balance Lots of growth opportunities for high performers Excellent place to learn the industry, and network",salaries for the internal groups (non-client facing) do not necessarily match market value,Consulting
Deloitte,0,I loved working with my partner and senior managers,"Felt undervalued, and there was no culture to speak of",Consulting
Deloitte,0,the only thing good is the office,- underpaid as compared to other companies - salary increment is almost nothing  - yearly bonus is to laugh upon,Consulting
Deloitte,NA,"Incredibly smart people, interesting projects, and a good support system.",Compensation is often less than industry jobs,Consulting
Deloitte,1,"Meet people at your own age, consulting opportunities at different companies","No work life balance, paid is not comparable with the industry",Consulting
Deloitte,1,Lots of growing opportunities to choose from.,Training can be a little vague/broad.,Consulting
Deloitte,0,Workload that keeps you busy 24/7,Pay to developer is so cheap!!,Consulting
Deloitte,1,Great exposure and extensive on-the-job learning,Long working hours and low pay,Consulting
Deloitte,1,Well organized. We had the chance to buy ourselves activities.,"Very corporate. Not very dynamic. I worked in audit and would've liked to change, but the process was more or less the same as if I was a non-Deloitte employee.",Consulting
Deloitte,0,Most are respectful. Lots of different opportunities,Too much of the work culture is focused on you sacrificing a lot in your personal life to gain the respect of others. It's hard to balance.,Consulting
Deloitte,1,-Creative environment  -opportunities for advancement,-team culture Could be improved,Consulting
Deloitte,0,No hierarchy - work you get depends on your skills,Easy not to find mentors,Consulting
Deloitte,1,"Work from home, work and earn at your ease, good culture overall, good career management","Less salary, less opportunities for custom coding experiences",Consulting
Deloitte,1,"Benefits, Work environment, Leadership, Culture, Values","Pay,  No overtime, Long hours",Consulting
Deloitte,NA,Excellent Professional Growth Opportunities and experience,-lot of politicking in consulting firms,Consulting
Deloitte,1,great company plenty of opportunities,work life balance can be a challenge,Consulting
Deloitte,0,"Good opportunities to learn, fits personalities that are driven/like challenges, lots of room to grow depending on team",A lot of office politics - have to make sure you are lucky that your manager's like you otherwise promotion path is complicated.   Grossly underpaid for amount of hours put in - especially during busy season. Compensation schedules and increases make no sense in terms of amount and reasoning.,Consulting
Deloitte,1,Flexible work conditions an good benefits,Short term projects hence forming long term relationships are hard,Consulting
Deloitte,1,- Shared values - Supportive environment,- Emerging Service line is not structured and clear,Consulting
Deloitte,NA,"Upward mobility, work from home flexibility, decent benefits","It's a large consulting/accounting company, so the usual complaints about hours, lack of recognition, etc. apply here.",Consulting
Deloitte,NA,Great learning opportunities if you take advantage,Work life balance can take a hit during busy season,Consulting
Deloitte,0,Lots of good development opportunities,Not much of a worklife balance,Consulting
Deloitte,1,Lots of learning and you get meet extremely smart people,Low pay and long hours,Consulting
Deloitte,0,"Relatively easy to get hired, go to recruiting events and meet people for coffee and then apply with decent grades.",If you are a campus hire you will be stuck at the same salary level (low low low) for the entire time you work for Deloitte. Leaving often gives you a 40-50% salary increase to go work for even a different consulting firm let alone into industry.,Consulting
Deloitte,1,"access to client business models and ways of thinking, large-scale project management experience, your entire job is to solve problems and determine / execute plans","hours can be long, travel takes its toll after some time",Consulting
Deloitte,1,"Some of the good reasons: - If you work for one of the partners that cares, they will have your back and help you. You can feel comfortable speaking out or telling them what you want to learn and some of them will actually help you pursue those goals (not all will...) - Some of the team members are awesome - Good variety of clients - Not a terrible work life balance (busy season is not good but other times of the year are reasonable) - Opportunity for secondments if you work hard and put your hand up!  - I was lucky enough to have some good clients and good travel.","- Do not calculate your hourly pay! The pay is not terrible but if you look at how many hours you put in including time for ""extra curricular"" work activities (recruiting, training, etc.) that you basically have to do if you want to get promoted... then its a lot of extra time. - Terrible culture in some aspects. People can get away with a lot including some workplace bullying, throwing you under the bus.",Consulting
Deloitte,1,- Extensive training resources available - flexible hours as long as work gets completed  - Exposure to different clients and industries  - Regular advancement and always learning,- Very long hours - Low amount of recognition for hard work,Consulting
